Entry,ID,MAX_OCC,MaxOccNo,LAT,LON
336,053-0080,18,18,48.147618000000000,-103.689259000000000
337,053-0081,34,34,48.173125390000000,-103.161881000000000
338,053-0082,343,343,48.077934000000000,-103.818243000000000
339,053-0083,60,60,48.123024000000000,-103.726624000000000
340,053-0084,25,25,48.122733000000000,-103.730364000000000
341,053-0085,3,3,48.183331000000000,-103.818188000000000
342,053-0014,56,56,48.228498000000000,-103.609764000000000
343,053-0025,60,60,48.283189000000000,-103.407894000000000
344,053-0026,20,20,48.142741000000000,-103.700145000000000
345,053-0027,12,12,48.118599000000000,-103.724675000000000
346,053-0028,3,3,48.137783000000000,-103.713783000000000
347,053-0029,48,48,48.170668000000000,-103.921746000000000
348,053-0030,16,16,48.132664000000000,-103.950182000000000
349,053-0031,8,8,48.569406000000000,-103.589699000000000
350,053-0035,4,4,48.120585000000000,-103.725269000000000
351,053-0036,5,5,48.122260000000000,-103.725790000000000
352,053-0037,3,3,48.138494000000000,-103.697766000000000
353,007-0014,6,6,48.876312000000000,-102.567984000000000
354,053-0015,58,58,48.175991000000000,-103.770239000000000
355,053-0016,16,16,48.142190000000000,-103.722358000000000
356,053-0017,100,100,48.142397000000000,-103.722708000000000
357,053-0018,276,276,48.343652000000000,-103.038928000000000
358,053-0019,6,6,48.312873000000000,-103.613741000000000
359,053-0020,8,8,48.342740000000000,-102.935051000000000
360,053-0021,8,8,48.141658000000000,-103.716914000000000
361,053-0021,2,2,48.141658000000000,-103.716914000000000
362,053-0021,30,30,48.141658000000000,-103.716914000000000
363,053-0022,248,248,48.246680000000000,-103.622414000000000
364,053-0023,60,60,48.246680000000000,-103.622414000000000
365,053-0038,450,450,48.258476000000000,-103.615888000000000
366,053-0039,15,15,48.283260000000000,-102.912238000000000
367,053-0040,6,6,48.138972000000000,-103.717496000000000
368,053-0041,10,10,48.147421000000000,-103.738171000000000
369,053-0045,28,28,48.243640000000000,-103.643285000000000
370,053-0046,9,9,48.184406000000000,-103.041037000000000
371,053-0048,6,6,48.146332000000000,-103.855310000000000
372,053-0049,24,24,48.144855000000000,-103.672507000000000
